"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 04- 12","25.735","25.255","25.840","25.025","74.87K","2.99%"
"2022- 04- 11","24.987","24.925","25.600","24.795","76.96K","0.66%"
"2022- 04- 08","24.823","24.725","24.935","24.495","50.94K","0.36%"
"2022- 04- 07","24.735","24.570","24.780","24.335","48.61K","1.13%"
"2022- 04- 06","24.458","24.465","24.680","24.200","47.18K","-0.31%"
"2022- 04- 05","24.534","24.665","25.110","24.355","49.22K","-0.23%"
"2022- 04- 04","24.590","24.735","25.005","24.385","41.51K","-0.26%"
"2022- 04- 01","24.654","24.990","25.040","24.565","44.25K","-1.91%"
"2022- 03- 31","25.133","25.035","25.285","24.670","36.61K","0.08%"
"2022- 03- 30","25.113","24.920","25.265","24.855","38.79K","1.52%"
"2022- 03- 29","24.736","25.010","25.135","24.045","76.19K","-1.83%"
"2022- 03- 28","25.196","25.725","25.795","24.940","46.26K","-1.64%"
"2022- 03- 25","25.615","25.850","26.035","25.470","37.91K","-1.18%"
"2022- 03- 24","25.920","25.285","26.160","25.170","61.00K","2.90%"
"2022- 03- 23","25.189","24.915","25.370","24.780","34.15K","1.14%"
"2022- 03- 22","24.904","25.410","25.590","24.695","45.76K","-1.62%"
"2022- 03- 21","25.313","25.150","25.520","25.050","34.84K","0.90%"
"2022- 03- 18","25.087","25.595","25.640","24.980","38.06K","-2.07%"
"2022- 03- 17","25.616","25.240","25.750","25.165","40.14K","3.67%"
"2022- 03- 16","24.710","25.115","25.250","24.550","46.30K","-1.78%"
"2022- 03- 15","25.158","25.260","25.315","24.750","47.79K","-0.55%"
"2022- 03- 14","25.298","26.280","26.290","25.160","52.36K","-3.30%"
"2022- 03- 11","26.160","26.255","26.350","25.695","51.55K","-0.37%"
"2022- 03- 10","26.256","26.060","26.425","25.600","55.85K","1.70%"
"2022- 03- 09","25.816","26.925","27.390","25.730","87.11K","-4.01%"
"2022- 03- 08","26.895","25.805","27.495","25.550","127.21K","4.57%"
"2022- 03- 07","25.720","26.025","26.370","25.465","81.50K","-0.27%"
"2022- 03- 04","25.789","25.285","25.920","25.155","70.86K","2.29%"
"2022- 03- 03","25.212","25.450","25.665","25.075","57.47K","0.09%"
"2022- 03- 02","25.190","25.505","25.545","24.960","69.47K","-1.37%"
"2022- 03- 01","25.541","24.455","25.650","24.345","68.56K","4.82%"
"2022- 02- 28","24.366","24.620","24.880","24.155","55.28K","1.45%"
"2022- 02- 25","24.017","24.330","24.550","23.920","67.32K","-2.71%"
"2022- 02- 24","24.687","24.610","25.670","23.860","107.56K","0.55%"
"2022- 02- 23","24.553","24.145","24.620","24.050","62.69K","1.00%"
"2022- 02- 21","24.311","24.060","24.385","23.710","96.22K","1.33%"
"2022- 02- 18","23.992","23.855","24.115","23.700","52.87K","0.49%"
"2022- 02- 17","23.875","23.645","23.930","23.440","60.05K","1.14%"
"2022- 02- 16","23.605","23.380","23.670","23.290","47.87K","1.13%"
"2022- 02- 15","23.342","23.885","24.015","23.070","61.87K","-2.12%"
"2022- 02- 14","23.848","23.600","23.965","23.555","57.09K","2.05%"
"2022- 02- 11","23.369","23.205","23.710","22.855","77.04K","-0.65%"
"2022- 02- 10","23.522","23.310","23.735","23.145","77.91K","0.78%"
"2022- 02- 09","23.341","23.195","23.365","23.095","52.98K","0.61%"
"2022- 02- 08","23.200","23.025","23.265","22.770","52.51K","0.54%"
"2022- 02- 07","23.076","22.535","23.110","22.500","58.94K","2.67%"
"2022- 02- 04","22.475","22.420","22.690","22.100","47.76K","0.45%"
"2022- 02- 03","22.375","22.650","22.660","21.985","55.03K","-1.46%"
"2022- 02- 02","22.707","22.640","22.875","22.465","38.34K","0.50%"
"2022- 02- 01","22.595","22.490","23.060","22.405","48.40K","0.90%"
"2022- 01- 31","22.393","22.475","22.655","22.250","38.42K","0.41%"
"2022- 01- 28","22.301","22.790","22.830","22.150","63.81K","-1.65%"
"2022- 01- 27","22.676","23.565","23.625","22.585","82.12K","-4.75%"
"2022- 01- 26","23.807","23.850","24.025","23.460","55.62K","-0.37%"
