t,V,I,dV,dI,Vr
1.0e-5,12.3,0.55,-193.42359767891685,-615.0,11.76547524
2.0e-5,12.297422975767018,0.543850590778525,-321.7698052606065,-614.8711487883509,11.77857048
3.0e-5,12.29356883507559,0.5377027898771684,-448.8466709650729,-614.6784417537795,11.791665720000001
4.0e-5,12.2884502776504,0.5315572326797434,-574.6529581199648,-614.42251388252,11.804760960000001
5.0e-5,12.282080014849695,0.5254145482172319,-699.1875764705928,-614.1040007424848,11.817856200000001
6.0e-5,12.27447076820757,0.5192753591623319,-822.4495808861375,-613.7235384103784,11.83095144
7.0e-5,12.265635267989206,0.5131402818247317,-944.4381700629674,-613.2817633994603,11.84404668
8.0e-5,12.255586251759102,0.5070099261471028,-1065.1526852251827,-612.779312587955,11.85714192
9.0e-5,12.2443364629623,0.5008848957018056,-1184.5926088226079,-612.2168231481149,11.87023716
0.0001,12.231898649518648,0.4947657876883008,-1302.7575632263342,-611.5949324759324,11.8833324
0.00011,12.218285562430122,0.48865319293126097,-1419.647309422031,-610.9142781215061,11.89642764
0.00012,12.203509954401222,0.48254769587937485,-1535.2617457011347,-610.1754977200611,11.90952288
0.00013,12.18758457847246,0.4764498746048383,-1649.600906350115,-609.379228923623,11.922618120000001
0.00014,12.170522186666984,0.47036030080352503,-1762.6649603379428,-608.5261093333492,11.935713360000001
0.00015,12.15233552865031,0.4642795397958312,-1874.454210001957,-607.6167764325155,11.9488086
0.00016,12.133037350403223,0.45820815052818614,-1984.9690897322325,-606.6518675201611,11.96190384
0.00017,12.112640392907824,0.4521466855752242,-2094.2101646546344,-605.6320196453912,11.97499908
0.00018,12.091157390846776,0.4460956911426095,-2202.178129312735,-604.5578695423388,11.98809432
0.00019,12.06860107131571,0.4400557070705082,-2308.8738063486744,-603.4300535657854,12.00118956
0.0002,12.04498415254884,0.4340272668377012,-2414.298145183184,-602.249207627442,12.0142848
0.00021,12.020319342657787,0.42801089756633076,-2518.452220694884,-601.0159671328894,12.02738004
0.00022,11.99745590616695,0.44875664738322296,-2054.9416477137765,2075.127254691652,12.04047528
0.00023,11.97920636444859,0.4695126736765476,-1595.6746069289584,2076.03973177757,12.053570520000001
0.00024,11.965528242840909,0.49027668011434195,-1140.6588784578198,2076.723637857954,12.066665760000001
0.00025,11.956378991509315,0.5110463916209863,-689.9017174541732,2077.1811004245337,12.079761000000001
0.00026,11.951715990674648,0.5318195544134812,-243.4098583927116,2077.4142504662673,12.09285624
0.00027,11.9514965557985,0.5525939360351216,198.81048063266644,2077.425222210075,12.10595148
0.00028,11.955677942725458,0.5733673253865896,636.75359359721,2077.2161528637266,12.11904672
0.00029,11.964217352782203,0.5941375327544859,1070.4142822209724,2076.7891823608898,12.13214196
0.0003,11.977071937833271,0.6149023898373229,1499.7878516323344,2076.146453108336,12.1452372
0.00031,11.994198805293415,0.6356597497690016,1924.8701060199437,2075.2901097353288,12.15833244
0.00032,12.015555023096415,0.6564074871397917,2345.657344273697,2074.222298845179,12.17142768
0.00033,12.041097624620253,0.6771434980148391,2762.1463556152867,2072.945168768987,12.184522920000001
0.00034,12.07078361356855,0.6978656999502222,3174.3344152188965,2071.4608693215723,12.197618160000001
0.00035,12.104569968808141,0.718572032006577,3582.219279822586,2069.771551559593,12.210713400000001
0.00036,12.142413649162748,0.7392604547603162,3985.799183330957,2067.8793675418624,12.22380864
0.00037,12.184271598162617,0.7599289503124604,4385.072832409587,2065.786470091869,12.23690388
0.00038,12.230100748750068,0.7805755222951077,4780.039402071861,2063.4950125624964,12.24999912
0.00039,12.27985802794088,0.8011981958755596,5170.698531258637,2061.0071486029556,12.26309436
0.0004,12.330663793658086,0.79504549040218,4990.654734226182,-616.5331896829043,11.75238
0.00041,12.379675137634974,0.788867831153239,4811.815423342634,-618.9837568817487,11.76547524
0.00042,12.426904141603968,0.7826661123222326,4634.187939540765,-621.3452070801984,11.77857048
0.00043,12.472362959711113,0.776441222043604,4457.77942480481,-623.6181479855557,11.791665720000001
0.00044,12.516063816532379,0.7701940423570336,4282.5968233291715,-625.8031908266189,11.804760960000001
0.00045,12.558019005101594,0.7639254491727174,4108.646882686839,-627.9009502550797,11.817856200000001
0.00046,12.598240884950116,0.7576363122376288,3935.9361550074664,-629.9120442475057,11.83095144
0.00047,12.636741880158326,0.7513274951027571,3764.47099816473,-631.8370940079162,11.84404668
0.00048,12.673534477419041,0.7449998550913179,3594.2575769728774,-633.6767238709521,11.85714192
0.00049,12.708631224112946,0.7386542432679287,3425.301864392155,-635.4315612056473,11.87023716
0.0005,12.74204472639611,0.7322915044087432,3257.60964274298,-637.1022363198055,11.8833324
0.00051,12.7737876472997,0.7259124769725394,3091.1865049285934,-638.689382364985,11.89642764
0.00052,12.803872704841957,0.7195179930727544,2926.037855665998,-640.1936352420979,11.90952288
0.00053,12.832312670152517,0.7131088784504608,2762.168912724974,-641.6156335076258,11.922618120000001
0.00054,12.85912036560917,0.7066859524482765,2599.5847081749653,-642.9560182804585,11.935713360000001
0.00055,12.884308662987126,0.7002500279852046,2438.2900896396295,-644.2154331493563,11.948808600000001
0.00056,12.907890481620854,0.6938019115323946,2278.2897215588273,-645.3945240810426,11.96190384
0.00057,12.92987878657859,0.6873424030898191,2119.588086457863,-646.4939393289294,11.97499908
0.00058,12.950286586849566,0.6808722961638614,1962.189486223775,-647.5143293424783,11.98809432
0.00059,12.969126933544036,0.674392377745805,1806.098043388467,-648.4563466772017,12.00118956
0.0006,12.986412918106168,0.6679034282912206,1651.3177024184588,-649.3206459053084,12.0142848
0.00061,13.00215767053987,0.6614062217002435,1497.852231011113,-650.1078835269934,12.02738004
0.00062,13.016374357647594,0.654901525298734,1345.7052213970564,-650.8187178823797,12.04047528
0.00063,13.029076181282223,0.6483900998203161,1194.880091648678,-651.4538090641112,12.053570520000001
0.00064,13.040276376612043,0.6418726993892866,1045.3800869944516,-652.0138188306022,12.066665760000001
0.00065,13.049988210398903,0.6353500715043882,897.2082811389137,-652.4994105199452,12.079761000000001
0.00066,13.058224979289596,0.6288229570234404,750.3675775880984,-652.9112489644798,12.09285624
0.00067,13.06500000812053,0.6222920901488217,604.8607109802197,-653.2500004060265,12.10595148
0.00068,13.070326648235715,0.6157581984137956,460.69024842146064,-653.5163324117858,12.11904672
0.00069,13.07421827581815,0.6092220026696749,317.85859082659226,-653.7109137909075,12.13214196
