"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019- 03- 06","57.08","57.67","57.73","56.60","17.42K","-1.42%"
"2019- 03- 05","57.90","57.73","58.60","57.40","17.11K","0.99%"
"2019- 03- 04","57.33","57.38","57.80","56.83","21.65K","1.65%"
"2019- 03- 01","56.40","55.70","57.58","55.67","23.37K","0.93%"
"2019- 02- 28","55.88","55.45","56.62","55.20","15.31K","0.50%"
"2019- 02- 27","55.60","54.65","56.88","54.23","20.50K","-0.23%"
"2019- 02- 26","55.73","54.92","56.48","54.30","24.65K","3.40%"
"2019- 02- 25","53.90","54.85","54.90","52.75","26.86K","-2.80%"
"2019- 02- 22","55.45","55.60","56.60","55.23","20.39K","-0.89%"
"2019- 02- 21","55.95","54.40","55.98","53.73","26.13K","5.61%"
"2019- 02- 20","52.98","56.27","56.40","52.25","35.56K","-6.26%"
"2019- 02- 19","56.52","58.88","58.92","56.52","16.37K","-5.04%"
"2019- 02- 15","59.52","58.70","60.27","58.12","14.48K","8.02%"
"2019- 02- 14","55.10","55.00","55.20","54.95","1.42K","-0.09%"
"2019- 02- 13","55.15","55.08","55.20","55.00","1.28K","-0.04%"
"2019- 02- 12","55.17","55.27","55.38","55.10","2.89K","0.00%"
"2019- 02- 11","55.17","55.00","55.38","54.90","2.09K","0.22%"
"2019- 02- 08","55.05","55.30","55.55","55.00","3.41K","-0.40%"
"2019- 02- 07","55.27","56.02","56.02","55.20","4.37K","-1.16%"
"2019- 02- 06","55.92","56.30","56.48","55.88","4.98K","-0.89%"
"2019- 02- 05","56.42","57.45","57.45","56.38","4.42K","-1.67%"
"2019- 02- 04","57.38","56.40","57.70","56.15","5.32K","1.83%"
"2019- 02- 01","56.35","56.40","56.67","56.05","3.36K","0.18%"
"2019- 01- 31","56.25","57.33","57.75","56.15","6.48K","-2.09%"
"2019- 01- 30","57.45","57.45","57.80","57.33","4.96K","0.21%"
"2019- 01- 29","57.33","57.65","57.77","57.10","8.03K","-1.12%"
"2019- 01- 28","57.98","58.52","58.52","57.80","5.28K","-0.69%"
"2019- 01- 25","58.38","59.38","59.40","58.05","8.51K","-2.42%"
"2019- 01- 24","59.83","60.75","60.85","59.80","6.64K","-1.55%"
"2019- 01- 23","60.77","61.15","61.45","60.30","10.85K","-1.15%"
"2019- 01- 22","61.48","61.73","62.02","60.85","7.87K","0.41%"
"2019- 01- 18","61.23","61.17","62.17","61.10","15.08K","0.62%"
"2019- 01- 17","60.85","60.08","61.20","59.12","16.57K","1.33%"
"2019- 01- 16","60.05","61.45","61.67","59.50","22.14K","-3.38%"
"2019- 01- 15","62.15","62.25","63.60","61.48","22.05K","0.49%"
"2019- 01- 14","61.85","62.65","62.73","61.40","24.99K","-1.28%"
"2019- 01- 11","62.65","63.38","63.70","62.42","30.03K","-2.23%"
"2019- 01- 10","64.08","63.58","64.22","63.10","36.16K","0.49%"
"2019- 01- 09","63.77","62.40","64.10","62.38","31.40K","1.87%"
"2019- 01- 08","62.60","62.60","63.15","62.08","32.49K","1.13%"
"2019- 01- 07","61.90","61.95","62.15","61.25","14.09K","-0.08%"
"2019- 01- 04","61.95","62.77","62.95","61.40","16.60K","-0.32%"
"2019- 01- 03","62.15","62.10","62.73","61.95","15.37K","0.73%"
"2019- 01- 02","61.70","61.38","63.42","61.25","25.54K","1.18%"
